Ra,Rh,La,Lh,Ma,Mh,Ia,Ih,Oa,Oh,Qa,Qh
43.90944444444446,48.65187958883996,37.66953974895401,48.810426829268295,49.74118468726164,53.47160294795026,56.2573452157599,54.400317563389024,50.38100671140941,44.21550000000002,44.95611111111111,61.55220037453185
56.60529850746272,62.07733040752353,57.645730733519045,62.294523809523824,56.01622067039108,60.198272455089835,53.65759259259261,49.941939252336454,50.6012032884903,60.442157303370806,59.86083849557522,67.54
54.30304075235111,58.00113913043481,60.89332401490951,68.49693251533745,63.31734375000002,60.30484615384617,54.14285685463534,52.9627052269376,57.1790017633229,58.78624375624378,56.772667725287846,66.68500000000003
75.81091955116015,69.22653781512606,75.65106126237626,79.89567834394907,75.59058055152397,66.52410169491526,63.613333333333344,66.5576875446535,62.83905797101451,63.08639455782313,59.1342613636364,62.51156666666668
69.54555053642014,72.19458151260504,70.22160606568367,66.43204545454546,64.7760810810811,61.00122818358116,55.54653111004478,64.48848484848487,65.35355086372364,66.60107094000392,60.94459527400706,64.72852238805973
59.56019446275545,78.47626110731375,71.94628292682927,71.25503731343285,68.99465629053181,74.35561004784691,63.20558374304831,63.012794885177456,63.636442006269604,66.35452380952383,73.78327450980393,72.74217609489052
69.27944389520515,68.86504357592095,75.35016791044778,67.669,53.810674157303396,62.59857142857143,68.77512713685812,63.53161917098447,60.48232600732604,48.92506097560977,66.4097457627119,76.68909090909094
67.56794900221732,58.98113436482086,73.07489420228525,64.53430555555556,66.3235778301887,63.30937062937065,66.83717703349284,62.92970898004437,62.09720647773278,58.79791666666668,73.44974065297528,59.21175000000002
52.064090909090936,65.15606132075473,51.30382352941177,70.63966802860062,60.80004965220576,60.636666666666684,58.16369565217394,58.285432912844044,53.22006716417911,55.755918530351465,42.7166666666667,58.00812658227849
54.16564048865621,64.50442121478875,68.4552026492685,69.84626016260164,57.93056195462481,67.52914634146344,60.49256643558641,69.1806991321119,50.25224696356278,44.552488009592366,69.00386038394419,65.88969089390145
